X,Y
0,41.500
2,53.290
4,65.938
6,77.278
8,84.370
10,95.160
12,103.250
14,90.424
16,97.623
18,109.875
20,121.077
22,129.159
24,134.556
26,158.667
28,176.500
30,170.917
32,172.099
34,164.850
36,160.000
