X,Y
0,33.0000
2,37.5488
4,32.9955
6,38.2602
8,53.3515
10,61.0998
12,56.9796
14,57.8333
16,60.6372
18,73.6990
20,92.1179
22,98.1429
24,92.0000
26,82.6905
28,68.4444
30,59.1122
32,57.6485
34,76.2132
36,103.5306
38,110.0601
40,112.2064
42,103.7500
