X,Y
0,58.000
2,51.827
4,48.483
6,47.376
8,39.045
10,34.851
12,41.062
14,57.610
16,75.851
18,92.916
20,98.157
22,88.625
24,88.202
26,104.418
28,102.946
30,99.926
32,101.971
34,98.932
36,111.942
38,131.158
40,147.934
42,174.090
44,178.000
