X,Y
0,32.0000
2,67.2128
4,55.2273
6,53.9132
8,61.8760
10,74.6653
12,71.1116
14,53.7748
16,57.9917
18,73.9669
20,71.3595
22,57.2500
24,71.2562
26,87.5372
28,99.9835
30,105.0764
32,100.6694
34,94.7231
36,99.9504
38,119.7934
40,134.2645
42,137.2459
44,136.5000
